Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
2740,27521,60.6,18.9,2,2,Minor,12810,0.14,6,HWB10,B,36,3,30,180,360,7,1,8,8,8,99.99
2741,27530,39.6,14.7,6,2,Minor,7431,0.18,8,HWB22,B,15,3,30,180,360,20,1,7,7,7,99.99
2742,27540,47.2,13.7,6,2,Minor,7431,0.18,8,HWB22,B,40,3,30,180,360,20,1,7,7,7,99.99
2744,27560,26.2,15.1,2,1,Minor,10928,0.05,10,HWB10,B,30,3,30,180,360,26,1,7,7,7,99.99
2745,27570,54.9,12,4,2,Minor,3570,0.18,13,HWB15,B,0,3,30,180,360,5,1,6,6,6,99.99
2746,27580,22.6,14.2,2,1,Minor,12999,0.1,11,HWB10,B,7,3,30,180,360,35,1,6,6,7,99.99
2747,27590,23.5,14.1,2,1,Minor,7820,0.12,8,HWB10,B,0,3,30,180,360,2,1,7,7,7,99.99
2748,27600,36.3,16.8,2,1,Minor,18984,0.1,6,HWB10,B,30,3,30,180,360,22,1,7,7,7,99.99
2749,27610,43.9,14.2,6,2,Minor,20577,0.1,10,HWB22,B,15,3,30,180,360,34,2,7,6,7,99.99
2751,27620,42.7,12.6,2,2,Minor,19525,0.1,2,HWB10,B,23,3,30,180,360,5,1,6,5,7,99.99
2752,27630,42.7,12.6,2,2,Minor,19525,0.1,2,HWB10,B,23,3,30,180,360,5,1,6,6,7,99.99
2753,27640,73.2,8.4,4,2,Minor,19525,0.1,2,HWB15,B,14,4,30,180,360,39,1,5,7,7,99.99
2754,27650,73.2,8.4,4,2,Minor,19525,0.1,2,HWB15,B,14,4,30,180,360,39,1,6,6,7,99.99
2755,27661,369.1,20.8,6,4,Major,31713,0.05,11,HWB1,B,15,8,30,180,360,7,1,6,8,7,99.99
2756,27670,288.3,13.1,4,2,Minor,3162,0.1,129,HWB1,B,15,2,30,180,360,32,1,7,7,7,99.99
2757,27680,39.3,9.8,3,10,Minor,3369,0.11,6,HWB3,B,0,1,30,180,360,10,1,6,5,6,99.99
2761,27720,19.9,14.2,3,2,Minor,3230,0.16,5,HWB3,B,15,1,30,180,360,6,1,7,6,7,99.99
2762,27731,16.3,9.9,5,2,Minor,4251,0.15,10,HWB3,B,0,1,30,180,360,4,1,8,9,9,99.99
2765,27760,109.7,10.4,4,2,Minor,3881,0.1,3,HWB15,B,0,3,30,180,360,34,1,6,5,5,99.99
2768,27790,59.4,9.4,4,2,Minor,1444,0.1,24,HWB15,B,5,3,30,180,360,34,1,6,6,7,99.99
2771,27820,75,10.2,4,2,Minor,1921,0.1,10,HWB15,B,0,3,30,180,360,36,1,5,5,5,99.99
2772,27830,69.2,10.2,4,2,Minor,1921,0.1,10,HWB15,B,0,3,30,180,360,36,1,6,6,6,99.99
2774,27850,113.5,10.7,4,2,Minor,2310,0.09,16,HWB15,B,30,6,30,180,360,5,1,8,6,7,99.99
2777,27890,73.8,11.1,1,11,NHS,6588,0.1,8,HWB5,B,0,3,30,180,360,5,1,7,7,8,99.99
2778,27900,80.2,12.9,6,2,NHS,6588,0.1,8,HWB22,B,50,3,30,180,360,18,1,7,8,8,99.99
2779,27910,24.4,12.3,2,1,Minor,2767,0.1,3,HWB10,B,10,3,30,180,360,29,1,7,7,8,99.99
2780,27920,226.2,14.2,4,6,Minor,2411,0.1,13,HWB1,B,10,3,30,180,360,10,1,6,6,7,99.99
2781,27930,22.6,11.3,5,2,Minor,3835,0.1,6,HWB3,B,0,1,30,180,360,16,1,7,8,7,99.99
2782,27940,15.2,9.2,5,5,Minor,3835,0.1,2,HWB3,B,0,1,30,180,360,40,1,6,5,5,99.99
2783,27950,72.2,11.1,4,2,Minor,1321,0.1,10,HWB15,B,0,3,30,180,360,42,1,5,8,5,99.99
2784,27960,103.9,11.8,6,6,Minor,1321,0.1,10,HWB22,B,0,7,30,180,360,42,1,6,5,6,99.99
2785,27970,103,11.7,6,6,Minor,664,0.15,14,HWB22,B,20,7,30,180,360,42,1,5,7,5,99.99
2787,28000,8.2,9.5,1,2,Minor,1111,0.1,11,HWB3,B,45,1,30,180,360,82,1,5,5,5,99.99
2788,28010,9.4,9.5,1,2,Minor,1111,0.1,11,HWB3,B,30,1,30,180,360,82,1,5,5,5,99.99
2789,28020,69.5,10.5,6,2,Minor,3315,0.12,11,HWB22,B,30,3,30,180,360,4,1,7,7,7,99.99
2790,28030,31.1,13.6,2,1,Minor,3315,0.12,11,HWB10,B,30,3,30,180,360,21,1,6,6,7,99.99
2791,28040,114.3,10.5,4,2,Minor,7425,0.12,16,HWB15,B,0,3,30,180,360,4,1,7,7,8,99.99
2793,28060,9.1,9.2,5,5,Minor,1048,0.1,3,HWB3,B,0,1,30,180,360,40,1,6,7,5,99.99
2794,28070,21,11.9,2,1,Minor,1783,0.1,8,HWB10,B,0,3,30,180,360,32,1,7,7,8,99.99
2795,28080,12.2,9.2,5,5,Minor,2543,0.1,6,HWB3,B,0,1,30,180,360,40,1,5,7,6,99.99
2796,28090,12.2,9.2,5,5,Minor,3850,0.1,3,HWB3,B,0,1,30,180,360,40,1,6,7,6,99.99
2798,28100,24.7,10.5,2,1,Minor,1606,0.1,13,HWB10,B,45,3,30,180,360,26,1,6,6,8,99.99
2800,28120,37.5,13.7,6,5,Minor,1532,0.1,13,HWB22,B,40,3,30,180,360,36,1,6,6,7,99.99
2801,28130,7.9,8.3,5,5,Minor,1532,0.1,13,HWB3,B,15,1,30,180,360,40,1,6,6,6,99.99
2802,28140,13.1,8.3,5,5,Minor,1606,0.1,10,HWB3,B,0,1,30,180,360,40,1,7,6,6,99.99
2803,28150,8.5,10.4,5,5,Minor,3203,0.1,21,HWB3,B,0,1,30,180,360,40,1,7,7,6,99.99
2804,28160,68.6,18.9,4,2,Minor,12547,0.1,16,HWB15,B,17,4,30,180,360,23,1,8,8,7,99.99
2805,28210,23.8,11.1,2,1,Minor,5063,0.07,5,HWB10,B,25,3,30,180,360,23,1,6,6,7,99.99
2808,28240,22.6,13.1,2,1,Minor,2637,0.1,6,HWB10,B,30,3,30,180,360,30,1,7,7,7,99.99
2809,28250,19.5,11.1,2,1,Minor,2637,0.1,10,HWB10,B,0,3,30,180,360,24,1,7,7,7,99.99
2810,28260,93,10.5,4,2,Minor,2637,0.1,16,HWB15,B,0,4,30,180,360,35,1,6,6,6,99.99
2812,28280,47.5,10.5,2,2,Minor,2830,0.1,6,HWB10,B,15,3,30,180,360,22,1,5,6,6,99.99
2814,28300,32.3,12.7,6,6,Minor,1021,0.1,6,HWB22,B,15,3,30,180,360,16,1,7,8,8,99.99
2815,28310,65.2,11.3,4,2,Minor,1214,0.3,3,HWB15,B,7,2,30,180,360,19,1,6,7,7,99.99
2816,28320,30.8,11.1,2,1,Minor,1214,0.1,3,HWB10,B,35,3,30,180,360,35,1,5,5,6,99.99
2817,28324,66.4,13.7,4,2,Minor,1927,0.1,42,HWB15,B,14,2,30,180,360,20,1,6,7,7,99.99
2818,28326,22.9,7.6,3,10,Minor,1927,0.1,42,HWB3,B,0,1,30,180,360,35,1,7,5,6,99.99
2819,28330,66.4,14.3,4,2,Minor,4898,0.3,8,HWB15,B,3,2,30,180,360,19,1,6,7,7,99.99
2820,28340,44.5,14.4,4,2,Minor,2568,0.1,5,HWB15,B,8,3,30,180,360,36,1,8,7,8,99.99
2824,28360,64.6,14.3,4,2,Minor,14920,0.1,13,HWB15,B,0,2,30,180,360,4,1,8,7,7,99.99
2825,28370,28,14.3,2,1,Minor,18052,0.1,10,HWB10,B,10,3,30,180,360,6,1,6,6,8,99.99
2826,28380,41.8,14.3,2,1,Minor,17939,0.1,13,HWB10,B,20,4,30,180,360,18,1,7,7,7,99.99
2827,28390,34.7,17.3,2,1,Minor,17939,0.1,8,HWB10,B,16,3,30,180,360,16,1,7,7,7,99.99
2828,28400,38.7,9.8,3,10,Minor,15191,0.1,6,HWB3,B,0,1,30,180,360,38,1,5,5,5,99.99
2829,28404,50.6,18.4,6,4,Minor,13623,0.1,8,HWB22,B,0,2,30,180,360,20,1,7,7,7,99.99
2830,28406,220.7,14.7,6,4,Minor,13623,0.1,8,HWB1,B,0,6,30,180,360,20,1,7,7,7,99.99
2833,28430,327.1,11.1,4,2,Minor,9016,0.04,34,HWB1,B,17,5,30,180,360,38,1,5,6,7,99.99
2834,28450,71.6,11.9,2,1,Minor,14220,0.05,6,HWB10,B,99,7,30,180,360,2,1,7,6,7,99.99
2836,28460,77.4,14.2,6,2,Minor,2520,0.06,13,HWB22,B,0,3,30,180,360,19,1,8,8,7,99.99
2837,28470,49.1,10.6,3,2,Minor,1720,0.1,6,HWB12,B,45,3,30,180,360,17,1,7,6,6,99.99
2838,28490,16.3,11.7,5,2,Minor,7704,0.1,10,HWB3,B,35,1,30,180,360,14,1,7,8,8,99.99
2839,28510,59.1,15.2,4,2,Minor,6133,0.1,6,HWB15,B,0,2,30,180,360,18,1,6,7,7,99.99
2840,28520,32,14.2,2,1,Minor,3317,0.1,6,HWB10,B,20,3,30,180,360,38,1,6,6,7,99.99
2841,28530,23.5,13.6,2,1,Minor,2185,0.1,6,HWB10,B,20,3,30,180,360,35,1,7,7,7,99.99
2843,28551,68.6,10.9,6,6,Minor,914,0.09,21,HWB22,B,25,3,30,180,360,8,1,6,8,8,99.99
2844,28560,15.9,10.9,5,6,Minor,169,0.05,21,HWB3,B,15,1,30,180,360,19,1,7,8,8,99.99
2845,28571,36.1,12.9,5,2,Minor,3560,0.08,16,HWB3,B,45,1,30,180,360,5,1,8,8,8,99.99
2846,28580,23.3,14.2,2,1,Minor,4315,0.18,8,HWB10,B,0,3,30,180,360,4,1,5,5,8,99.99
2847,28600,20.1,14.7,2,1,Minor,2021,0.18,6,HWB10,B,30,3,30,180,360,30,1,7,7,6,99.99
2848,28610,19.5,14.7,2,1,Minor,5277,0.1,5,HWB10,B,15,3,30,180,360,27,1,7,7,8,99.99
2849,28620,19.8,14.2,2,1,Minor,5277,0.1,6,HWB10,B,15,3,30,180,360,39,1,6,6,8,99.99
2851,28640,58.8,14.2,6,2,Minor,5277,0.1,10,HWB22,B,19,3,30,180,360,39,1,7,7,8,99.99
2852,28650,39.3,9.7,1,2,Minor,3472,0.05,5,HWB5,B,0,3,30,180,360,19,1,6,6,5,99.99
2854,28670,21.9,9.7,2,1,Minor,2069,0.1,6,HWB10,B,30,3,30,180,360,35,1,6,6,7,99.99
2855,28680,15.9,9.7,2,1,Minor,2069,0.1,6,HWB10,B,0,3,30,180,360,35,1,7,7,7,99.99
2856,28690,28,9.7,2,1,Minor,2069,0.1,5,HWB10,B,10,3,30,180,360,35,1,7,7,7,99.99
2858,28720,46.4,10.1,6,2,Minor,510,0.1,5,HWB22,B,30,3,30,180,360,2,1,9,9,7,99.99
2860,28740,28,9.3,6,5,Minor,2133,0.1,10,HWB22,B,0,3,30,180,360,40,1,7,5,5,99.99
2861,28750,25.3,14.3,2,1,Minor,6352,0.07,6,HWB10,B,0,3,30,180,360,27,1,5,5,8,99.99
2862,28755,25.6,15.9,5,4,Minor,5361,0.08,2,HWB3,B,6,1,30,180,360,22,1,7,8,8,99.99
2863,28760,33.8,13,1,11,Minor,8082,0.04,10,HWB3,B,10,1,30,180,360,37,1,6,6,6,99.99
2866,28790,24.7,14.2,2,1,Minor,6352,0.07,2,HWB10,B,30,3,30,180,360,37,1,5,5,6,99.99
2867,28800,53.1,21.7,3,7,Major,17800,0.08,2,HWB12,B,13,3,30,180,360,3,1,7,7,7,99.99
2868,28810,45.5,20.8,5,6,Major,20081,0.08,2,HWB17,B,18,3,30,180,360,11,1,6,8,7,99.99
2869,28820,55.6,14.7,6,2,Minor,3932,0.1,6,HWB22,B,5,3,30,180,360,28,1,7,8,7,99.99
2871,28850,22.7,14.5,2,1,Minor,4645,0.1,5,HWB10,B,5,3,30,180,360,33,1,7,7,6,99.99
2872,28860,31,10.3,2,1,Minor,4864,0.1,6,HWB10,B,20,3,30,180,360,20,1,7,7,7,99.99
2873,28870,27.9,9.7,2,1,Minor,4188,0.1,6,HWB10,B,0,3,30,180,360,20,1,7,7,6,99.99
2874,28880,34.7,9.7,2,2,Minor,4188,0.1,6,HWB10,B,25,3,30,180,360,20,1,6,6,6,99.99
2875,28890,32.4,9.7,2,2,Minor,3511,0.1,5,HWB10,B,40,3,30,180,360,20,1,5,5,5,99.99
2877,28901,51.7,10.5,6,2,Minor,2070,0.05,10,HWB22,B,0,3,30,180,360,5,1,8,8,8,99.99
2879,28930,25.3,13.6,4,2,Minor,1569,0.1,8,HWB15,B,30,3,30,180,360,35,1,6,5,5,99.99
2882,28950,41.5,9.1,6,6,Minor,1340,0.06,5,HWB22,B,15,3,30,180,360,50,1,6,7,6,99.99
2884,28960,79.3,18.1,4,2,Minor,5745,0.18,6,HWB15,B,20,3,30,180,360,34,1,6,6,6,99.99
2885,28970,24.6,13.1,2,1,Minor,2178,0.17,6,HWB10,B,15,3,30,180,360,28,1,6,6,7,99.99
2886,28980,22.4,13.6,2,1,Minor,2815,0.17,6,HWB10,B,0,3,30,180,360,34,1,5,5,7,99.99
2891,29030,82.3,9.9,1,11,Minor,5542,0.24,5,HWB5,B,0,4,30,180,360,4,1,6,5,5,99.99
2892,29050,20.4,14.2,2,1,Minor,3542,0.17,6,HWB10,B,0,3,30,180,360,11,1,7,7,7,99.99
2893,29060,23.3,14.2,2,1,Minor,1877,0.17,6,HWB10,B,33,3,30,180,360,3,1,7,7,7,99.99
2894,29080,25.3,18.2,3,2,NHS,45000,0.08,6,HWB3,B,0,1,30,180,360,34,1,6,6,7,99.99
2895,29090,27.1,18.2,3,2,NHS,45000,0.08,6,HWB3,B,0,1,30,180,360,34,1,7,7,6,99.99
2896,29100,74,26.5,4,2,NHS,11992,0.1,19,HWB15,B,30,4,30,180,360,24,1,6,7,6,99.99
2897,29110,13.1,14.2,5,6,Minor,4919,0.2,6,HWB3,B,30,1,30,180,360,33,1,6,7,7,99.99
2899,29130,72.2,15.7,6,5,Major,18606,0.08,13,HWB22,B,15,5,30,180,360,18,1,7,7,7,99.99
2900,29140,27.1,14.5,2,1,Major,10954,0.1,2,HWB10,B,45,3,30,180,360,34,1,6,6,7,99.99
2905,29160,47.2,13.6,6,2,Minor,2204,0.1,10,HWB22,B,20,3,30,180,360,25,1,5,7,7,99.99
2906,29170,37.8,13.6,6,2,Minor,2204,0.06,10,HWB22,B,0,3,30,180,360,25,1,7,7,7,99.99
2907,29180,37.9,11.3,6,2,Minor,4511,0.1,3,HWB22,B,29,3,30,180,360,21,1,5,7,6,99.99
2908,29190,36.5,12.4,6,6,Minor,4691,0.07,3,HWB22,B,10,3,30,180,360,19,1,7,7,8,99.99
2909,29200,25.9,10.3,2,1,Minor,4691,0.07,5,HWB10,B,0,3,30,180,360,20,1,8,8,8,99.99
2912,29220,95.3,26.8,4,2,Minor,4250,0.05,2,HWB15,B,0,3,30,180,360,5,1,7,6,6,99.99
2913,29230,67.3,25.3,4,2,Minor,6352,0.05,2,HWB15,B,0,4,30,180,360,19,1,7,7,6,99.99
2915,29250,46.5,11,6,5,Minor,5889,0.1,8,HWB22,B,0,3,30,180,360,21,1,6,6,7,99.99
2916,29260,11.4,12.1,1,1,Minor,5889,0.01,8,HWB3,B,30,1,30,180,360,23,1,7,7,7,99.99
2917,29270,35.1,9.9,6,6,Minor,3034,0.1,5,HWB22,B,0,2,30,180,360,35,1,6,8,5,99.99
2918,29280,25.5,10.3,2,1,Minor,1756,0.1,6,HWB10,B,15,3,30,180,360,23,1,7,7,8,99.99
2919,29290,16.9,10.3,5,2,Minor,1756,0.05,10,HWB3,B,10,1,30,180,360,23,1,7,8,8,99.99
2921,29310,41.9,9.2,6,6,Minor,2056,0.1,8,HWB22,B,0,3,30,180,360,21,1,7,7,6,99.99
2922,29320,19.7,11.1,5,2,Minor,2056,0.1,8,HWB3,B,0,1,30,180,360,35,1,7,8,8,99.99
2924,29340,25.6,10.7,2,1,Minor,2948,0.1,6,HWB10,B,20,3,30,180,360,24,1,7,7,7,99.99
2926,29360,62.6,26.5,4,2,Minor,39277,0.05,6,HWB15,B,2,4,30,180,360,15,1,7,8,7,99.99
2927,29362,15.9,13.4,5,5,Minor,7823,0.1,2,HWB3,B,40,1,30,180,360,26,1,7,7,6,99.99
2928,29364,89,13.5,6,2,Minor,4062,0.1,26,HWB22,B,0,3,30,180,360,22,1,7,7,8,99.99
2929,29366,1374.6,23.7,3,14,NHS,9672,0.31,39,HWB1,B,0,3,30,180,360,18,1,6,6,6,99.99
2930,29368,68,14,6,2,NHS,7500,0.14,5,HWB22,B,34,3,30,180,360,13,1,7,8,8,99.99
2931,29369,68,14,6,2,NHS,7500,0.14,5,HWB22,B,34,3,30,180,360,14,1,7,8,8,99.99
2932,29373,76.8,13.1,6,4,NHS,7500,0.14,3,HWB22,B,22,2,30,180,360,13,1,7,8,8,99.99
2933,29374,77.1,13.1,6,4,NHS,7500,0.14,3,HWB22,B,22,2,30,180,360,14,1,7,8,8,99.99
2935,29382,31.7,14.2,2,1,NHS,7822,0.1,10,HWB10,B,0,3,30,180,360,34,1,6,6,8,99.99
2936,29383,25.6,14.5,2,1,NHS,8773,0.1,6,HWB10,B,20,3,30,180,360,34,1,6,6,7,99.99
2938,29385,25.5,14.2,2,1,NHS,9480,0.22,6,HWB10,B,6,3,30,180,360,4,1,6,6,7,99.99
2939,29405,94.2,9.3,3,2,Major,9934,0.03,2,HWB3,B,64,1,30,180,360,20,1,7,7,7,99.99
2940,29410,8.5,12.8,1,1,NHS,1660,0.08,8,HWB3,B,0,1,30,180,360,20,1,6,6,7,99.99
2944,29430,25.5,11.1,2,1,Minor,3043,0.1,6,HWB10,B,0,3,30,180,360,26,1,7,7,7,99.99
2945,29440,28.7,11.1,2,1,Minor,2407,0.07,6,HWB10,B,30,3,30,180,360,26,1,7,7,7,99.99
2947,29460,22.9,12.8,3,2,Minor,9178,0.1,3,HWB3,B,0,1,30,180,360,23,1,6,7,5,99.99
2948,29470,22.9,14.3,2,1,Minor,9178,0.1,5,HWB10,B,15,3,30,180,360,33,1,6,6,6,99.99
2949,29480,34.9,16.2,6,2,Minor,5380,0.07,2,HWB22,B,0,3,30,180,360,3,1,7,9,7,99.99
2950,29491,40,12.3,2,6,Minor,5810,0.07,27,HWB8,B,30,3,30,180,360,2,1,9,9,9,99.99
2951,29510,15.9,14.2,2,1,Minor,11275,0.1,5,HWB10,B,20,3,30,180,360,18,1,6,6,6,99.99
2952,29520,18.9,13.4,2,1,Minor,11000,0.1,5,HWB10,B,30,3,30,180,360,16,1,6,6,6,99.99
2953,29530,31.1,13.1,2,1,Minor,9084,0.1,10,HWB10,B,10,3,30,180,360,26,1,5,5,6,99.99
2954,29540,21.9,13.4,2,1,Minor,9084,0.1,6,HWB10,B,0,3,30,180,360,26,1,5,5,6,99.99
2955,29550,99.1,14.2,6,2,Minor,14252,0.1,34,HWB22,B,48,5,30,180,360,16,1,7,7,6,99.99
2956,29555,49.2,11.1,6,2,Minor,2242,0.05,23,HWB22,B,0,3,30,180,360,26,1,7,8,7,99.99
2957,29560,251.6,11.1,4,2,Minor,2242,0.05,23,HWB1,B,13,5,30,180,360,26,1,7,8,7,99.99
2958,29570,25,13.6,2,1,Minor,2815,0.1,6,HWB10,B,0,3,30,180,360,36,1,5,5,5,99.99
2959,29580,95.7,11.7,6,2,Minor,2294,0.1,11,HWB22,B,20,3,30,180,360,5,1,7,6,7,99.99
2960,29590,35.7,11.7,2,1,Minor,2294,0.1,8,HWB10,B,10,3,30,180,360,24,1,6,6,8,99.99
2962,29610,66.8,11.9,6,2,Minor,251,0.1,6,HWB22,B,30,3,30,180,360,28,1,7,7,8,99.99
2968,29660,19.5,14.2,3,2,Minor,2822,0.12,10,HWB3,B,15,1,30,180,360,37,1,6,7,7,99.99
2969,29670,61,11.1,4,2,Minor,2541,0.19,8,HWB15,B,0,3,30,180,360,28,1,6,7,5,99.99
2970,29680,21.6,11.7,2,1,Minor,2591,0.1,5,HWB10,B,25,3,30,180,360,24,1,6,6,7,99.99
2971,29690,11.6,9.7,1,11,Minor,2591,0.1,5,HWB3,B,30,1,30,180,360,84,N,5,5,5,99.99
2972,29700,21.3,11.7,2,1,Minor,2591,0.1,5,HWB10,B,30,3,30,180,360,24,1,7,7,7,99.99
2974,29750,49.6,14.2,4,2,Minor,5150,0.1,10,HWB15,B,15,3,30,180,360,37,1,7,7,6,99.99
2976,29760,21.9,12.7,2,1,Minor,4013,0.1,6,HWB10,B,30,3,30,180,360,23,1,6,6,7,99.99
2977,29770,161.2,10.2,4,2,Minor,1873,0.1,23,HWB1,B,0,5,30,180,360,19,1,6,7,7,99.99
2978,29780,19.5,12.3,2,1,Minor,4819,0.1,6,HWB10,B,6,3,30,180,360,28,1,7,7,8,99.99
2980,29800,36,11.3,2,1,Minor,1157,0.1,3,HWB10,B,10,3,30,180,360,34,1,7,7,8,99.99
2982,29820,88.3,10.1,4,2,Minor,1927,0.1,8,HWB15,B,10,5,30,180,360,2,1,9,8,5,99.99
2983,29840,50.2,8.9,4,2,Minor,2170,0.04,21,HWB15,B,40,2,30,180,360,39,1,6,5,5,99.99
2984,29850,27.7,10.4,2,1,Minor,2999,0.1,5,HWB10,B,0,3,30,180,360,28,1,5,5,6,99.99
2986,29870,20.7,9.9,1,11,Minor,2434,0.1,8,HWB3,B,15,1,30,180,360,35,1,7,7,7,99.99
2988,29880,31.7,14.5,2,1,Minor,13500,0.1,8,HWB10,B,15,3,30,180,360,33,1,6,6,6,99.99
2989,29890,78.4,11.1,4,2,Minor,13500,0.1,8,HWB15,B,36,4,30,180,360,40,1,5,6,6,99.99
2990,29895,825.7,10.3,4,12,Minor,11748,0.05,113,HWB1,B,0,3,30,180,360,16,1,6,5,6,5.01
2992,29902,62.2,9.4,6,4,Local,1224,0.05,10,HWB22,B,99,3,30,180,360,16,1,7,7,8,99.99
2993,29910,77.7,25.2,4,2,Minor,30980,0.03,8,HWB15,B,35,4,30,180,360,3,1,8,7,7,99.99
2995,29970,34.2,13,2,1,Minor,5160,0.04,11,HWB10,B,25,3,30,180,360,5,1,7,7,7,99.99
2996,29980,15.2,12.9,1,1,Minor,4450,0.04,10,HWB3,B,20,1,30,180,360,3,1,7,7,8,99.99
2997,29990,17.3,14,2,1,Minor,4690,0.07,5,HWB10,B,35,3,30,180,360,24,1,5,5,6,99.99
2998,30000,20.9,14.3,2,1,Minor,4890,0.05,10,HWB10,B,0,3,30,180,360,3,1,6,6,6,99.99
2999,30010,36.9,9.2,6,5,Minor,2193,0.1,5,HWB22,B,0,3,30,180,360,16,1,7,7,7,99.99
3000,30040,25,13.6,2,1,Minor,1830,0.05,29,HWB10,B,30,3,30,180,360,4,1,7,7,6,99.99
3001,30050,41.8,13.3,2,2,Minor,1860,0.21,5,HWB10,B,7,3,30,180,360,3,1,6,6,6,99.99
3002,30060,41.8,13.3,2,2,Minor,1860,0.21,5,HWB10,B,0,3,30,180,360,3,1,7,7,7,99.99
3003,30070,26.8,11.1,2,1,Minor,1473,0.1,6,HWB10,B,45,3,30,180,360,34,1,5,5,7,99.99
3004,30080,43.3,11.1,6,2,Minor,1473,0.1,8,HWB22,B,0,3,30,180,360,34,1,6,8,7,99.99
3005,30090,52.4,10.4,2,2,Minor,2142,0.22,11,HWB10,B,0,3,30,180,360,23,1,6,6,8,99.99
3006,30100,87.3,11.7,4,2,Minor,2608,0.05,11,HWB15,B,44,4,30,180,360,20,1,7,7,7,99.99
3008,30110,41.8,10.5,6,6,Minor,1917,0.1,6,HWB22,B,20,3,30,180,360,16,1,7,8,7,99.99
3010,30120,9.3,10.7,1,1,Minor,2140,0.1,8,HWB3,B,0,1,30,180,360,25,1,8,8,6,99.99
3011,30130,88.5,14.2,4,2,Minor,1346,0.12,5,HWB15,B,20,3,30,180,360,2,1,6,7,7,99.99
3012,30140,45.1,11.2,6,5,Minor,6456,0.1,5,HWB22,B,30,3,30,180,360,21,1,6,7,7,99.99
3013,30150,27.8,10.1,6,6,Minor,2780,0.1,6,HWB22,B,30,3,30,180,360,25,1,6,7,6,99.99
3014,30160,21.2,13.6,2,1,Minor,2780,0.1,6,HWB10,B,15,3,30,180,360,36,1,6,6,6,99.99
3015,30170,30.9,10.1,6,6,Minor,1774,0.1,8,HWB22,B,45,3,30,180,360,28,1,6,7,6,99.99
3016,30180,15.9,10.5,5,6,Minor,1774,0.13,8,HWB3,B,10,1,30,180,360,19,1,7,8,8,99.99
3017,30190,23,11.1,2,1,Minor,1700,0.1,6,HWB10,B,10,3,30,180,360,37,1,6,6,7,99.99
3018,30220,39.3,9.8,1,2,Minor,4898,0.1,10,HWB5,B,0,3,30,180,360,35,1,6,6,5,99.99
3019,30230,39.3,9.8,1,2,Minor,4898,0.1,10,HWB5,B,0,3,30,180,360,5,1,7,7,6,99.99
3020,30240,34.4,13.6,2,1,Minor,6181,0.1,6,HWB10,B,42,3,30,180,360,31,1,7,7,7,99.99
3023,30280,24.4,14.2,4,2,Minor,2283,0.1,6,HWB15,B,15,3,30,180,360,41,1,5,6,5,99.99
3025,30300,10.1,11.5,1,1,Minor,3155,0.18,24,HWB3,B,0,1,30,180,360,22,1,7,7,7,99.99
3028,30330,23.8,11.9,2,1,Minor,1869,0.1,6,HWB10,B,5,3,30,180,360,27,1,6,6,7,99.99
3029,30340,34.7,11.9,2,1,Minor,1869,0.1,8,HWB10,B,21,3,30,180,360,27,1,6,6,7,99.99
3031,30360,31.1,12.3,2,1,Minor,1388,0.1,6,HWB10,B,45,3,30,180,360,28,1,6,6,7,99.99
3033,30380,30.8,13.6,2,1,Minor,3290,0.1,14,HWB10,B,45,3,30,180,360,34,1,6,6,6,99.99
3035,30400,28.7,13.6,2,1,Minor,2931,0.1,11,HWB10,B,0,3,30,180,360,34,1,6,6,6,99.99
3036,30410,74.1,16.7,4,2,NHS,20466,0.05,2,HWB15,B,0,4,30,180,360,26,1,5,7,6,99.99
3037,30420,74.1,16.7,4,2,NHS,20466,0.05,2,HWB15,B,0,4,30,180,360,26,1,6,7,6,99.99
3038,30430,66.1,13,4,2,NHS,13009,0.05,2,HWB15,B,30,3,30,180,360,17,1,7,7,7,99.99
3039,30440,65.3,16.6,4,2,NHS,13009,0.05,2,HWB15,B,30,3,30,180,360,17,1,7,7,8,99.99
3043,30470,24.7,14.3,2,1,Minor,6227,0.1,11,HWB10,B,0,3,30,180,360,28,1,7,7,7,99.99
3044,30480,15.2,14.4,5,5,Minor,4233,0.1,6,HWB3,B,5,1,30,180,360,34,1,7,7,7,99.99
3045,30490,14.6,8.4,5,5,Minor,2613,0.1,6,HWB3,B,0,1,30,180,360,40,1,6,6,5,99.99
3046,30500,25,10.1,2,1,Minor,2613,0.1,8,HWB10,B,0,3,30,180,360,68,1,6,6,6,99.99
3047,30510,8.5,9.3,5,5,Minor,2060,0.1,6,HWB3,B,0,1,30,180,360,40,1,6,6,6,99.99
3048,30520,13.4,9.2,5,5,Minor,2063,0.1,6,HWB3,B,0,1,30,180,360,40,1,6,6,7,99.99
3051,30551,20.6,10.5,2,1,Minor,2400,0.1,5,HWB10,B,44,3,30,180,360,5,1,9,9,9,99.99
3052,30560,66.4,11.1,4,2,Minor,4986,0.1,2,HWB15,B,11,4,30,180,360,25,1,7,7,6,99.99
