Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
1177,12170,90.8,19.2,4,2,NHS,28350,0.22,2,HWB15,B,50,3,30,180,360,3,1,8,8,7,99.99
1178,12180,90.8,19.2,4,2,NHS,29184,0.22,2,HWB15,B,50,3,30,180,360,3,1,7,7,7,99.99
1179,12190,81.4,9.4,4,2,NHS,3778,0.01,10,HWB15,B,37,2,30,180,360,6,1,8,7,7,99.99
1180,12200,47.2,19.2,6,6,NHS,32055,0.2,2,HWB22,B,0,4,30,180,360,3,1,8,8,7,99.99
1181,12210,47.9,22.9,4,2,NHS,33047,0.2,2,HWB15,B,0,4,30,180,360,3,1,7,7,7,99.99
1183,12220,45.2,13.7,6,2,NHS,29550,0.22,2,HWB22,B,45,3,30,180,360,4,1,8,7,7,99.99
1184,12230,44.7,13.7,4,2,NHS,29545,0.22,2,HWB15,B,45,3,30,180,360,3,1,9,7,7,99.99
1185,12241,26.6,13.7,5,2,NHS,29550,0.22,2,HWB3,B,10,1,30,180,360,2,1,9,9,9,99.99
1186,12250,23.6,13.7,3,2,NHS,29545,0.22,2,HWB3,B,10,1,30,180,360,3,1,9,7,8,99.99
1188,12260,12.8,12.7,1,2,NHS,32055,0.2,2,HWB3,B,0,1,30,180,360,21,1,6,7,6,99.99
1189,12261,18.7,19.8,5,2,NHS,31079,0.21,2,HWB3,B,0,1,30,180,360,2,1,9,9,9,99.99
1190,12271,18.7,13.7,5,2,NHS,30738,0.21,2,HWB3,B,0,1,30,180,360,3,1,9,9,9,99.99
1191,12280,69.5,12.8,4,2,NHS,17289,0.1,2,HWB15,B,0,3,30,180,360,15,1,6,6,7,99.99
1192,12290,69.5,13.1,4,2,NHS,17289,0.1,2,HWB15,B,0,3,30,180,360,15,1,6,6,7,99.99
1194,12310,43.3,13.2,4,2,NHS,17937,0.1,2,HWB15,B,28,2,30,180,360,30,1,5,5,6,99.99
1195,12320,43.3,13.2,4,2,NHS,17937,0.1,2,HWB15,B,28,2,30,180,360,30,1,6,7,7,99.99
1197,12330,36,13,6,2,NHS,17125,0.1,2,HWB22,B,10,3,30,180,360,30,1,7,7,6,99.99
1198,12340,36,13.1,6,2,NHS,17125,0.1,2,HWB22,B,10,3,30,180,360,30,1,6,7,6,99.99
1201,12360,60.4,13,4,2,NHS,16062,0.1,2,HWB15,B,0,3,30,180,360,31,1,5,7,6,99.99
1203,12370,39.6,13,6,2,NHS,15668,0.1,2,HWB22,B,0,3,30,180,360,30,1,6,7,6,99.99
1204,12380,39.6,13,6,2,NHS,15668,0.1,2,HWB22,B,0,3,30,180,360,30,1,5,7,6,99.99
1205,12390,25.1,19.6,6,6,NHS,13400,0.05,2,HWB22,B,15,3,30,180,360,7,1,8,8,7,99.99
1206,12400,25,15.2,6,6,NHS,13660,0.18,2,HWB22,B,15,3,30,180,360,7,1,8,8,7,99.99
1207,12410,31.7,12.8,2,1,NHS,26265,0.1,2,HWB10,B,10,3,30,180,360,21,1,6,6,7,99.99
1208,12420,31.7,13,2,1,NHS,26265,0.1,2,HWB10,B,10,3,30,180,360,21,1,6,6,7,99.99
1209,12430,37.5,13,2,2,NHS,27408,0.05,2,HWB10,B,0,3,30,180,360,24,1,6,6,6,99.99
1210,12440,38.1,13,6,6,NHS,27408,0.05,2,HWB22,B,0,3,30,180,360,24,1,7,7,7,99.99
1211,12450,34.4,13,2,2,NHS,27408,0.05,2,HWB10,B,0,3,30,180,360,24,1,6,6,6,99.99
1212,12460,35.1,13,6,6,NHS,27408,0.05,2,HWB22,B,0,3,30,180,360,24,1,7,7,7,99.99
1213,12471,171.8,14.8,4,2,Minor,35992,0.08,2,HWB1,B,99,4,30,180,360,7,1,7,7,8,99.99
1214,12475,59.1,13,4,2,Minor,19992,0.1,2,HWB15,B,30,3,30,180,360,23,1,7,7,7,99.99
1215,12480,58.9,12.2,4,2,Minor,19992,0.1,2,HWB15,B,30,3,30,180,360,23,1,7,7,7,99.99
1217,12500,133,14.2,4,2,Minor,13633,0.08,10,HWB15,B,0,5,30,180,360,21,1,7,7,7,99.99
1220,12520,10.1,14.2,5,6,Minor,5609,0.1,5,HWB3,B,0,1,30,180,360,12,1,7,7,6,99.99
1222,12530,21.9,14.3,2,1,Minor,4020,0.09,5,HWB10,B,38,3,30,180,360,2,1,7,7,7,99.99
1223,12540,19.2,14.3,2,1,Major,7525,0.07,8,HWB10,B,15,3,30,180,360,30,1,6,6,6,99.99
1224,12570,6.7,14.1,1,1,Minor,10963,0.08,6,HWB3,B,20,1,30,180,360,66,1,6,6,5,99.99
1226,12590,7,14.1,1,1,Minor,9485,0.07,5,HWB3,B,10,1,30,180,360,66,1,7,7,7,99.99
1227,12600,19.2,12.6,2,1,Minor,7294,0.07,5,HWB10,B,15,3,30,180,360,66,1,5,5,7,99.99
1228,12610,9.4,12.6,1,2,Minor,7294,0.07,5,HWB3,B,15,1,30,180,360,66,1,5,6,5,99.99
1229,12620,7,14.1,1,1,Minor,7294,0.07,6,HWB3,B,15,1,30,180,360,66,1,5,5,5,99.99
1230,12630,21.9,24.1,2,1,Major,30027,0.05,5,HWB10,B,30,3,30,180,360,26,1,6,6,7,99.99
1231,12638,31.1,12.9,2,1,Major,8478,0.1,2,HWB10,B,45,3,30,180,360,26,1,5,5,7,99.99
1232,12640,31.1,12.9,2,1,Major,8478,0.05,2,HWB10,B,45,3,30,180,360,27,1,5,5,7,99.99
1233,12643,72.5,13.6,4,2,Major,11364,0.11,2,HWB15,B,34,3,30,180,360,30,1,7,6,7,99.99
1234,12644,72.5,13.9,4,2,Major,11364,0.11,2,HWB15,B,34,3,30,180,360,30,1,7,6,7,99.99
1236,12650,116.4,14.7,4,2,Minor,10026,0.06,14,HWB15,B,28,4,30,180,360,26,1,7,7,7,99.99
1237,12660,18.7,14.2,2,1,Minor,2440,0.05,8,HWB10,B,15,3,30,180,360,4,1,7,7,7,99.99
1238,12665,6.9,9.8,5,5,Minor,1261,0.07,13,HWB3,B,21,1,30,180,360,24,2,8,7,8,99.99
1239,12670,44.8,13.8,6,2,Minor,1161,0.11,13,HWB22,B,22,3,30,180,360,28,1,5,7,7,99.99
1240,12680,26.5,13.7,2,1,Minor,1161,0.11,13,HWB10,B,9,3,30,180,360,28,1,6,6,7,99.99
